job_id,job_title,company_name,industry,location,job_type,experience_level,min_experience_years,education_required,required_skills,preferred_skills,salary_min_lkr,salary_max_lkr,posted_date,description
J0016,Mobile Developer,Pearson Lanka,Technology,Trincomalee,Internship,Entry,0,High School,"MySQL, C++, Deep Learning, Tableau, Linux",Jira,37774,47671,2025-12-24,"We are looking for a Entry-level Mobile Developer to join our Technology team at Pearson Lanka. The ideal candidate will have strong skills in MySQL, C++, Deep Learning. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Jira."
J0017,Brand Manager,MullenLowe Sri Lanka,Marketing,Ratnapura,Part-Time,Manager,10,Diploma,"CRM, SEO, Product Marketing, A/B Testing, Content Marketing","Email Marketing, Customer Segmentation, Adobe Creative Suite",354261,454617,2026-01-05,"We are looking for a Manager-level Brand Manager to join our Marketing team at MullenLowe Sri Lanka. The ideal candidate will have strong skills in CRM, SEO, Product Marketing. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Email Marketing, Customer Segmentation."
J0018,Campaign Manager,JWT Sri Lanka,Marketing,Polonnaruwa,Freelance,Mid,3,Diploma,"Canva, Brand Management, Creativity, Leadership","Customer Segmentation, Teamwork, Content Marketing, SEO",128353,157775,2026-04-19,"We are looking for a Mid-level Campaign Manager to join our Marketing team at JWT Sri Lanka. The ideal candidate will have strong skills in Canva, Brand Management, Creativity. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Customer Segmentation, Teamwork."
J0019,Compensation Analyst,John Keells Holdings,HR,Negombo,Freelance,Manager,10,Diploma,"Compensation & Benefits, Labor Law, Data Analysis, Excel, Workday, HR Management, Reporting","Training & Development, Employee Relations",361300,459189,2026-02-20,"We are looking for a Manager-level Compensation Analyst to join our HR team at John Keells Holdings. The ideal candidate will have strong skills in Compensation & Benefits, Labor Law, Data Analysis. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Training & Development, Employee Relations."
J0020,Credit Analyst,Seylan Bank,Finance,Negombo,Part-Time,Lead,9,Bachelor's,"Financial Reporting, R, Investment Analysis, Power BI, Analytical Thinking, Excel, GAAP, Bloomberg Terminal","Financial Modeling, Auditing, Data Analysis",312324,368871,2026-01-08,"We are looking for a Lead-level Credit Analyst to join our Finance team at Seylan Bank. The ideal candidate will have strong skills in Financial Reporting, R, Investment Analysis. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Financial Modeling, Auditing."
J0021,Credit Analyst,Nations Trust Bank,Finance,Trincomalee,Freelance,Lead,9,Bachelor's,"Presentation Skills, Financial Modeling, Derivatives, Attention to Detail, Data Analysis","Power BI, Teamwork, Fixed Income, Equity Research",312072,356927,2026-02-22,"We are looking for a Lead-level Credit Analyst to join our Finance team at Nations Trust Bank. The ideal candidate will have strong skills in Presentation Skills, Financial Modeling, Derivatives. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Power BI, Teamwork."
J0022,Learning & Development Specialist,Aitken Spence,HR,Hybrid,Freelance,Entry,0,Diploma,"Data Analysis, Performance Management, Interpersonal Skills, Reporting, Workday, Communication",HR Management,43391,50226,2026-03-16,"We are looking for a Entry-level Learning & Development Specialist to join our HR team at Aitken Spence. The ideal candidate will have strong skills in Data Analysis, Performance Management, Interpersonal Skills. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include HR Management."
J0023,Risk Analyst,Hatton National Bank (HNB),Finance,Jaffna,Contract,Manager,10,Bachelor's,"Attention to Detail, Excel, VBA, IFRS, Risk Analysis, Financial Reporting, Derivatives, Investment Analysis","Power BI, Financial Modeling",386325,444331,2025-11-11,"We are looking for a Manager-level Risk Analyst to join our Finance team at Hatton National Bank (HNB). The ideal candidate will have strong skills in Attention to Detail, Excel, VBA. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Power BI, Financial Modeling."
J0024,Accountant,Cargills Bank,Finance,Kalutara,Part-Time,Junior,1,Master's,"VBA, Communication, Auditing, Risk Analysis, Power BI, Python, Financial Reporting, Financial Modeling, Fixed Income","R, Accounting",70427,95516,2026-04-11,"We are looking for a Junior-level Accountant to join our Finance team at Cargills Bank. The ideal candidate will have strong skills in VBA, Communication, Auditing. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include R, Accounting."
J0025,People Operations Specialist,Cargills (Ceylon),HR,Hybrid,Internship,Manager,10,PhD,"Performance Management, Communication, Employee Relations, Labor Law, Reporting, Onboarding","Succession Planning, Compensation & Benefits, Organizational Skills",395731,539384,2025-11-09,"We are looking for a Manager-level People Operations Specialist to join our HR team at Cargills (Ceylon). The ideal candidate will have strong skills in Performance Management, Communication, Employee Relations. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Succession Planning, Compensation & Benefits."
J0026,Campaign Manager,Leo Burnett Sri Lanka,Marketing,Hybrid,Freelance,Manager,10,Master's,"HubSpot, Data Analysis, Content Marketing","Campaign Management, Product Marketing",365726,532903,2025-11-10,"We are looking for a Manager-level Campaign Manager to join our Marketing team at Leo Burnett Sri Lanka. The ideal candidate will have strong skills in HubSpot, Data Analysis, Content Marketing. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Campaign Management, Product Marketing."
J0027,Risk Analyst,People's Bank,Finance,Vavuniya,Full-Time,Senior,6,Bachelor's,"Excel, Accounting, IFRS, Equity Research, VBA, GAAP","Analytical Thinking, Tax Planning, Data Analysis, Auditing",178675,240387,2026-02-06,"We are looking for a Senior-level Risk Analyst to join our Finance team at People's Bank. The ideal candidate will have strong skills in Excel, Accounting, IFRS. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Analytical Thinking, Tax Planning."
J0028,Risk Analyst,LB Finance,Finance,Colombo,Part-Time,Senior,6,Bachelor's,"Derivatives, Attention to Detail, VBA, Financial Reporting",Communication,216522,246507,2025-11-23,"We are looking for a Senior-level Risk Analyst to join our Finance team at LB Finance. The ideal candidate will have strong skills in Derivatives, Attention to Detail, VBA. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Communication."
J0029,ERP Consultant,Airport & Aviation Services,Operations,Ampara,Contract,Senior,6,Master's,"Supply Chain Management, Reporting, Communication, Excel, SQL, Logistics, ERP, Vendor Management, PMP, Oracle",ISO,212895,272587,2026-01-15,"We are looking for a Senior-level ERP Consultant to join our Operations team at Airport & Aviation Services. The ideal candidate will have strong skills in Supply Chain Management, Reporting, Communication. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include ISO."
J0030,Procurement Officer,CMA CGM Lanka,Operations,Matara,Freelance,Entry,0,PhD,"SQL, ISO, Excel, Leadership, Procurement","Supply Chain Management, Oracle",46592,57169,2026-02-15,"We are looking for a Entry-level Procurement Officer to join our Operations team at CMA CGM Lanka. The ideal candidate will have strong skills in SQL, ISO, Excel. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Supply Chain Management, Oracle."
J0031,HR Generalist,John Keells Holdings,HR,Polonnaruwa,Contract,Senior,6,Diploma,"Talent Acquisition, Performance Management, Leadership, Organizational Skills, Conflict Resolution, Succession Planning, Excel","Compensation & Benefits, Workday, HRIS",204236,239408,2026-01-05,"We are looking for a Senior-level HR Generalist to join our HR team at John Keells Holdings. The ideal candidate will have strong skills in Talent Acquisition, Performance Management, Leadership. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Compensation & Benefits, Workday."
J0032,Product Marketing Manager,JWT Sri Lanka,Marketing,Kurunegala,Internship,Entry,0,Master's,"Market Research, CRM, Excel, SEO, Data Analysis, Google Analytics, Brand Management, Customer Segmentation, Communication, Product Marketing","HubSpot, Social Media Marketing",43765,49049,2025-12-31,"We are looking for a Entry-level Product Marketing Manager to join our Marketing team at JWT Sri Lanka. The ideal candidate will have strong skills in Market Research, CRM, Excel. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include HubSpot, Social Media Marketing."
J0033,Campaign Manager,JWT Sri Lanka,Marketing,Hybrid,Full-Time,Manager,10,Master's,"Project Management, Customer Segmentation, Copywriting, Creativity, Adobe Creative Suite, SEO",Brand Management,348863,430018,2026-03-02,"We are looking for a Manager-level Campaign Manager to join our Marketing team at JWT Sri Lanka. The ideal candidate will have strong skills in Project Management, Customer Segmentation, Copywriting. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Brand Management."
J0034,Frontend Developer,Pearson Lanka,Technology,Remote,Contract,Manager,10,Bachelor's,"Matplotlib, Pandas, R, Deep Learning, MongoDB, Keras, MySQL",GCP,315260,529024,2026-03-28,"We are looking for a Manager-level Frontend Developer to join our Technology team at Pearson Lanka. The ideal candidate will have strong skills in Matplotlib, Pandas, R. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include GCP."
J0035,ERP Consultant,SriLankan Airlines,Operations,Kandy,Freelance,Junior,1,Master's,"Oracle, Risk Management, Reporting","Data Analysis, PMP",61085,86571,2025-12-07,"We are looking for a Junior-level ERP Consultant to join our Operations team at SriLankan Airlines. The ideal candidate will have strong skills in Oracle, Risk Management, Reporting. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Data Analysis, PMP."
J0036,Marketing Analyst,Cargills (Ceylon),Marketing,Batticaloa,Part-Time,Entry,0,High School,"Email Marketing, Digital Marketing, Campaign Management, SQL, Social Media Marketing, Salesforce, Customer Segmentation, Adobe Creative Suite, Market Research",Product Marketing,38683,47796,2026-03-27,"We are looking for a Entry-level Marketing Analyst to join our Marketing team at Cargills (Ceylon). The ideal candidate will have strong skills in Email Marketing, Digital Marketing, Campaign Management. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Product Marketing."
J0037,Market Research Analyst,Cargills (Ceylon),Marketing,Vavuniya,Part-Time,Senior,6,PhD,"Excel, Data Analysis, Market Research, Communication, Product Marketing, Canva, Customer Segmentation, Digital Marketing, Leadership","Campaign Management, Adobe Creative Suite, SQL",169946,250274,2026-04-18,"We are looking for a Senior-level Market Research Analyst to join our Marketing team at Cargills (Ceylon). The ideal candidate will have strong skills in Excel, Data Analysis, Market Research. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Campaign Management, Adobe Creative Suite."
J0038,Compliance Officer,Nations Trust Bank,Finance,Batticaloa,Internship,Senior,6,Master's,"Investment Analysis, Excel, Power BI, R, VBA, Statistics, Fixed Income","Risk Analysis, Tax Planning, Communication",184195,239925,2025-10-29,"We are looking for a Senior-level Compliance Officer to join our Finance team at Nations Trust Bank. The ideal candidate will have strong skills in Investment Analysis, Excel, Power BI. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Risk Analysis, Tax Planning."
J0039,Financial Controller,Hatton National Bank (HNB),Finance,Kalutara,Freelance,Lead,9,Diploma,"Data Analysis, Financial Reporting, R, Equity Research, Presentation Skills",IFRS,322933,389324,2026-01-26,"We are looking for a Lead-level Financial Controller to join our Finance team at Hatton National Bank (HNB). The ideal candidate will have strong skills in Data Analysis, Financial Reporting, R. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include IFRS."
J0040,Supply Chain Analyst,Maersk Lanka,Operations,Trincomalee,Full-Time,Entry,0,Bachelor's,"Six Sigma, Teamwork, Inventory Management, Risk Management, ERP, Lean, Communication, Excel, SQL","Vendor Management, Process Improvement, SAP",44818,52069,2026-02-27,"We are looking for a Entry-level Supply Chain Analyst to join our Operations team at Maersk Lanka. The ideal candidate will have strong skills in Six Sigma, Teamwork, Inventory Management. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Vendor Management, Process Improvement."
J0041,ERP Consultant,Maersk Lanka,Operations,Nuwara Eliya,Part-Time,Senior,6,High School,"Excel, Reporting, Data Analysis, ERP, Leadership, Lean","ISO, Oracle",160218,254908,2026-01-28,"We are looking for a Senior-level ERP Consultant to join our Operations team at Maersk Lanka. The ideal candidate will have strong skills in Excel, Reporting, Data Analysis. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include ISO, Oracle."
J0042,Quality Assurance Analyst,Lanka Logistics,Operations,Remote,Internship,Senior,6,High School,"Six Sigma, Communication, Supply Chain Management, Vendor Management, Project Management, Process Improvement, Quality Assurance, Procurement, SQL",SAP,199964,236380,2026-01-24,"We are looking for a Senior-level Quality Assurance Analyst to join our Operations team at Lanka Logistics. The ideal candidate will have strong skills in Six Sigma, Communication, Supply Chain Management. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include SAP."
J0043,Business Intelligence Analyst,Virtusa,Technology,Badulla,Full-Time,Lead,9,High School,"CI/CD, GCP, Communication, NLP, Jira, Machine Learning, Plotly, Statistics, MySQL","Computer Vision, Git",276186,367300,2025-12-13,"We are looking for a Lead-level Business Intelligence Analyst to join our Technology team at Virtusa. The ideal candidate will have strong skills in CI/CD, GCP, Communication. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Computer Vision, Git."
J0044,Operations Manager,Lanka Logistics,Operations,Anuradhapura,Internship,Senior,6,High School,"Leadership, Vendor Management, Data Analysis, Project Management, Lean, Teamwork",Excel,217152,279564,2025-10-23,"We are looking for a Senior-level Operations Manager to join our Operations team at Lanka Logistics. The ideal candidate will have strong skills in Leadership, Vendor Management, Data Analysis. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Excel."
J0045,AI Researcher,WSO2,Technology,Nuwara Eliya,Internship,Manager,10,High School,"Communication, Docker, AWS, Leadership, A/B Testing, JavaScript, Hadoop, NumPy, Keras",Agile,401790,504557,2026-01-04,"We are looking for a Manager-level AI Researcher to join our Technology team at WSO2. The ideal candidate will have strong skills in Communication, Docker, AWS. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Agile."
J0046,HR Generalist,Cargills (Ceylon),HR,Batticaloa,Part-Time,Mid,3,Diploma,"Data Analysis, Organizational Skills, Interpersonal Skills, Performance Management, Excel, Employee Relations, Reporting, Leadership, Communication",Succession Planning,101072,156516,2026-02-22,"We are looking for a Mid-level HR Generalist to join our HR team at Cargills (Ceylon). The ideal candidate will have strong skills in Data Analysis, Organizational Skills, Interpersonal Skills. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Succession Planning."
J0047,Auditor,Nations Trust Bank,Finance,Remote,Contract,Entry,0,PhD,"Statistics, Tableau, VBA, Derivatives, Analytical Thinking, Fixed Income, Auditing, Tax Planning","Investment Analysis, Data Analysis, Equity Research",42378,58961,2025-10-31,"We are looking for a Entry-level Auditor to join our Finance team at Nations Trust Bank. The ideal candidate will have strong skills in Statistics, Tableau, VBA. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Investment Analysis, Data Analysis."
J0048,Risk Analyst,Cargills Bank,Finance,Badulla,Part-Time,Lead,9,Diploma,"Financial Modeling, Auditing, Financial Reporting, R, Attention to Detail, Tableau, IFRS","Accounting, Presentation Skills, Equity Research",312296,382653,2025-11-28,"We are looking for a Lead-level Risk Analyst to join our Finance team at Cargills Bank. The ideal candidate will have strong skills in Financial Modeling, Auditing, Financial Reporting. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Accounting, Presentation Skills."
J0049,Project Manager,SriLankan Airlines,Operations,Ampara,Internship,Senior,6,Master's,"Communication, Project Management, Supply Chain Management, Six Sigma, Risk Management, ERP, Process Improvement",SQL,183865,267260,2026-03-29,"We are looking for a Senior-level Project Manager to join our Operations team at SriLankan Airlines. The ideal candidate will have strong skills in Communication, Project Management, Supply Chain Management. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include SQL."
J0050,Tax Consultant,NDB Bank,Finance,Kalutara,Full-Time,Manager,10,High School,"R, Teamwork, SQL, GAAP, Financial Reporting","Data Analysis, Presentation Skills, Portfolio Management, Statistics",363183,447988,2026-01-17,"We are looking for a Manager-level Tax Consultant to join our Finance team at NDB Bank. The ideal candidate will have strong skills in R, Teamwork, SQL. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Data Analysis, Presentation Skills."
J0051,Auditor,Cargills Bank,Finance,Colombo,Freelance,Junior,1,Diploma,"Risk Analysis, Tax Planning, Data Analysis, Presentation Skills, Communication, Bloomberg Terminal","Derivatives, R",70051,96158,2025-12-12,"We are looking for a Junior-level Auditor to join our Finance team at Cargills Bank. The ideal candidate will have strong skills in Risk Analysis, Tax Planning, Data Analysis. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Derivatives, R."
J0052,Digital Marketing Specialist,Hemas Holdings,Marketing,Anuradhapura,Part-Time,Senior,6,Bachelor's,"Market Research, Copywriting, SEM, Salesforce",SEO,189270,257139,2025-12-07,"We are looking for a Senior-level Digital Marketing Specialist to join our Marketing team at Hemas Holdings. The ideal candidate will have strong skills in Market Research, Copywriting, SEM. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include SEO."
J0053,Accountant,LB Finance,Finance,Remote,Internship,Manager,10,Master's,"Portfolio Management, Excel, Data Analysis, Tax Planning, Python, Presentation Skills, VBA, Accounting, Power BI, Risk Analysis","Bloomberg Terminal, Investment Analysis, Equity Research",331973,501765,2025-11-16,"We are looking for a Manager-level Accountant to join our Finance team at LB Finance. The ideal candidate will have strong skills in Portfolio Management, Excel, Data Analysis. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Bloomberg Terminal, Investment Analysis."
J0054,Operations Analyst,SriLankan Airlines,Operations,Remote,Part-Time,Mid,3,PhD,"Six Sigma, Reporting, Inventory Management, Data Analysis",Vendor Management,102936,139045,2026-02-23,"We are looking for a Mid-level Operations Analyst to join our Operations team at SriLankan Airlines. The ideal candidate will have strong skills in Six Sigma, Reporting, Inventory Management. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Vendor Management."
J0055,Market Research Analyst,Aitken Spence,Marketing,Ratnapura,Internship,Entry,0,Diploma,"Google Analytics, Customer Segmentation, Adobe Creative Suite, Excel, Email Marketing, Creativity, Teamwork, Data Analysis, Leadership",Market Research,47362,54171,2026-01-14,"We are looking for a Entry-level Market Research Analyst to join our Marketing team at Aitken Spence. The ideal candidate will have strong skills in Google Analytics, Customer Segmentation, Adobe Creative Suite. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Market Research."
J0056,Operations Manager,Expolanka Holdings,Operations,Batticaloa,Freelance,Lead,9,Master's,"Communication, ERP, PMP, ISO, Project Management, SAP, Leadership","Vendor Management, Inventory Management, Quality Assurance",273878,388908,2026-02-25,"We are looking for a Lead-level Operations Manager to join our Operations team at Expolanka Holdings. The ideal candidate will have strong skills in Communication, ERP, PMP. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Vendor Management, Inventory Management."
J0057,Risk Analyst,Pan Asia Bank,Finance,Badulla,Contract,Entry,0,PhD,"Power BI, IFRS, Bloomberg Terminal, Derivatives, GAAP, Statistics, Teamwork, Python, Portfolio Management","Risk Analysis, Financial Reporting",38493,52533,2026-02-19,"We are looking for a Entry-level Risk Analyst to join our Finance team at Pan Asia Bank. The ideal candidate will have strong skills in Power BI, IFRS, Bloomberg Terminal. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Risk Analysis, Financial Reporting."
J0058,AI Researcher,Surge Global,Technology,Vavuniya,Freelance,Mid,3,Master's,"Git, REST API, Kotlin, Tableau, Machine Learning, NLP","Problem Solving, Computer Vision, PostgreSQL, Redis",100297,153843,2025-12-29,"We are looking for a Mid-level AI Researcher to join our Technology team at Surge Global. The ideal candidate will have strong skills in Git, REST API, Kotlin. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Problem Solving, Computer Vision."
J0059,Auditor,Commercial Bank of Ceylon,Finance,Kalutara,Full-Time,Senior,6,Master's,"Financial Reporting, Risk Analysis, IFRS, GAAP, Communication, Teamwork, Presentation Skills","Equity Research, Python, Tableau, SQL",209983,247336,2026-01-20,"We are looking for a Senior-level Auditor to join our Finance team at Commercial Bank of Ceylon. The ideal candidate will have strong skills in Financial Reporting, Risk Analysis, IFRS. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Equity Research, Python."
J0060,Credit Analyst,LOLC Finance,Finance,Trincomalee,Full-Time,Mid,3,Bachelor's,"Analytical Thinking, Tableau, Accounting","Communication, Presentation Skills",106772,151819,2026-02-08,"We are looking for a Mid-level Credit Analyst to join our Finance team at LOLC Finance. The ideal candidate will have strong skills in Analytical Thinking, Tableau, Accounting. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Communication, Presentation Skills."
J0061,Compensation Analyst,Virtusa,HR,Vavuniya,Freelance,Lead,9,Master's,"Compensation & Benefits, Onboarding, Data Analysis, Organizational Skills, Workday, Performance Management",Employee Relations,271026,367661,2025-11-02,"We are looking for a Lead-level Compensation Analyst to join our HR team at Virtusa. The ideal candidate will have strong skills in Compensation & Benefits, Onboarding, Data Analysis. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Employee Relations."
J0062,People Operations Specialist,MAS Holdings,HR,Vavuniya,Part-Time,Junior,1,High School,"Onboarding, Reporting, Communication, Talent Acquisition, Performance Management, Excel, Labor Law","Compensation & Benefits, Conflict Resolution, HRIS",69356,86813,2026-01-13,"We are looking for a Junior-level People Operations Specialist to join our HR team at MAS Holdings. The ideal candidate will have strong skills in Onboarding, Reporting, Communication. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Compensation & Benefits, Conflict Resolution."
